Entity,Code,Year,Human Development Index
Brazil,BRA,2000,0.668
Brazil,BRA,2001,0.673
Brazil,BRA,2002,0.678
Brazil,BRA,2003,0.682
Brazil,BRA,2004,0.689
Brazil,BRA,2005,0.696
Brazil,BRA,2006,0.701
Brazil,BRA,2007,0.708
Brazil,BRA,2008,0.714
Brazil,BRA,2009,0.717
Brazil,BRA,2010,0.722
Brazil,BRA,2011,0.727
Brazil,BRA,2012,0.732
Brazil,BRA,2013,0.75
Brazil,BRA,2014,0.753
Brazil,BRA,2015,0.752
Brazil,BRA,2016,0.753
Brazil,BRA,2017,0.758
Brazil,BRA,2018,0.762
Brazil,BRA,2019,0.764
Brazil,BRA,2020,0.758
Brazil,BRA,2021,0.756
Brazil,BRA,2022,0.76
Luxembourg,LUX,2000,0.864
Luxembourg,LUX,2001,0.867
Luxembourg,LUX,2002,0.872
Luxembourg,LUX,2003,0.873
Luxembourg,LUX,2004,0.881
Luxembourg,LUX,2005,0.882
Luxembourg,LUX,2006,0.882
Luxembourg,LUX,2007,0.885
Luxembourg,LUX,2008,0.898
Luxembourg,LUX,2009,0.908
Luxembourg,LUX,2010,0.912
Luxembourg,LUX,2011,0.913
Luxembourg,LUX,2012,0.917
Luxembourg,LUX,2013,0.922
Luxembourg,LUX,2014,0.927
Luxembourg,LUX,2015,0.914
Luxembourg,LUX,2016,0.922
Luxembourg,LUX,2017,0.918
Luxembourg,LUX,2018,0.921
Luxembourg,LUX,2019,0.925
Luxembourg,LUX,2020,0.921
Luxembourg,LUX,2021,0.927
Luxembourg,LUX,2022,0.927
Philippines,PHL,2000,0.635
Philippines,PHL,2001,0.64
Philippines,PHL,2002,0.646
Philippines,PHL,2003,0.652
Philippines,PHL,2004,0.658
Philippines,PHL,2005,0.659
Philippines,PHL,2006,0.659
Philippines,PHL,2007,0.663
Philippines,PHL,2008,0.666
Philippines,PHL,2009,0.666
Philippines,PHL,2010,0.673
Philippines,PHL,2011,0.677
Philippines,PHL,2012,0.684
Philippines,PHL,2013,0.689
Philippines,PHL,2014,0.693
Philippines,PHL,2015,0.696
Philippines,PHL,2016,0.696
Philippines,PHL,2017,0.7
Philippines,PHL,2018,0.706
Philippines,PHL,2019,0.714
Philippines,PHL,2020,0.705
Philippines,PHL,2021,0.692
Philippines,PHL,2022,0.71
United States,USA,2000,0.894
United States,USA,2001,0.895
United States,USA,2002,0.896
United States,USA,2003,0.898
United States,USA,2004,0.902
United States,USA,2005,0.904
United States,USA,2006,0.908
United States,USA,2007,0.911
United States,USA,2008,0.912
United States,USA,2009,0.913
United States,USA,2010,0.916
United States,USA,2011,0.918
United States,USA,2012,0.92
United States,USA,2013,0.922
United States,USA,2014,0.923
United States,USA,2015,0.924
United States,USA,2016,0.926
United States,USA,2017,0.928
United States,USA,2018,0.93
United States,USA,2019,0.933
United States,USA,2020,0.923
United States,USA,2021,0.921
United States,USA,2022,0.927
World,OWID_WRL,2000,0.645
World,OWID_WRL,2001,0.65
World,OWID_WRL,2002,0.655
World,OWID_WRL,2003,0.661
World,OWID_WRL,2004,0.667
World,OWID_WRL,2005,0.673
World,OWID_WRL,2006,0.679
World,OWID_WRL,2007,0.685
World,OWID_WRL,2008,0.689
World,OWID_WRL,2009,0.692
World,OWID_WRL,2010,0.698
World,OWID_WRL,2011,0.704
World,OWID_WRL,2012,0.709
World,OWID_WRL,2013,0.714
World,OWID_WRL,2014,0.719
World,OWID_WRL,2015,0.724
World,OWID_WRL,2016,0.728
World,OWID_WRL,2017,0.732
World,OWID_WRL,2018,0.735
World,OWID_WRL,2019,0.739
World,OWID_WRL,2020,0.736
World,OWID_WRL,2021,0.735
World,OWID_WRL,2022,0.739
